"Ticker","Name","Mkt Cap £m","P/E","Op Profit","ROCE %","Net Debt","Div Cover","EV",""
"BLT","BHP Billiton","88,270","10.0","23,412","17.6","25,786","2.14","173,425"," "
"DLN","Derwent London","2,753","5.08","656.4","17.6","974.1","14.7","3,798"," "
"ECM","Electrocomponents","916.9","12.7","106.1","17.5","147.2","1.38","1,064"," "
"WOS","Wolseley","8,124","16.7","727","17.5","753","2.29","8,877"," "
"BNZL","Bunzl","5,297","24.1","334.4","17.3","888.8","1.87","6,185"," "
"SXS","Spectris","1,977","15.6","178.2","17.3","107.4","2.67","2,084"," "
"JMAT","Johnson Matthey","5,865","17.1","448.2","17.2","740.9","2.67","6,599"," "
"VZC","Verizon Communications Inc","123,847","15.2","34,036","17.2","103,555","2.24","303,057"," "
"BOY","Bodycote","1,103","14.0","106","17.1","-5.50","2.98","1,098"," "
"DMGT","Daily Mail and General Trust","2,665","18.7","243.2","17.1","797.1","1.93","3,570"," "
"SSA","Aktsionernaya Finansovaya Korp…","2,004","27.0","5,328","17.0","10,783","3.84","18,115"," "
"BOE","Boeing Co","53,316","17.9","6,647","16.9","-2,447","2.49","83,083"," "
"HFD","Halfords","883.6","15.1","77.6","16.9","99.6","1.97","983.2"," "
"AHT","Ashtead","4,646","16.2","425.9","16.8","1,300","4.22","5,945"," "
"TRCN","TransContainer OAO","556.8","0.84","6,814","16.8","4,955","4.55","40,986"," "
"BT.A","BT","29,443","12.7","2,976","16.7","7,218","2.39","36,661"," "
"DIA","Dialight","265.6","25.8","11.6","16.7","-2.80","1.60","262.7"," "
"PFC","Petrofac","3,416","10.0","702","16.7","812","2.37","6,286"," "
"AFR","Afren","1,032","8.15","559.4","16.6","883.8","-","2,546"," "
"ALNT","Alent","814.5","12.5","85.4","16.5","102.3","2.57","916.8"," "
"BRW","Brewin Dolphin Holdings","678","18.9","41.2","16.4","-137","1.38","541"," "
"IPO","IP","890","8.33","87.0","16.4","-120.3","-","769.3"," "
"ZHEH","Zhejiang Expressway Co","21,607","104.7","3,300","16.4","-13,954","1.52","201,832"," "
"FEC","Far EasTone Telecommunications…","73,229","261.2","16,461","16.3","8,514","1.02","3,569,257"," "
"JLT","Jardine Lloyd Thompson","1,988","15.5","179.1","16.3","-284.5","1.80","1,726"," "
